rank,numero_cnj,pid,score,ano_cnj,classe_nome,composite,link
1,1047957-32.2025.4.01.3300,1446087,0.9898,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0948,https://voyager.was.dev.br/dashboard/processos/1446087/
2,1036737-37.2025.4.01.3300,1161757,0.9782,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0832,https://voyager.was.dev.br/dashboard/processos/1161757/
3,1093994-45.2024.4.01.3400,1434854,0.9872,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0772,https://voyager.was.dev.br/dashboard/processos/1434854/
4,1096478-33.2024.4.01.3400,1161669,0.9871,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0771,https://voyager.was.dev.br/dashboard/processos/1161669/
5,1091472-45.2024.4.01.3400,1433357,0.9863,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0763,https://voyager.was.dev.br/dashboard/processos/1433357/
6,1095630-46.2024.4.01.3400,1436864,0.9862,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0762,https://voyager.was.dev.br/dashboard/processos/1436864/
7,1095627-91.2024.4.01.3400,1435276,0.9861,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0761,https://voyager.was.dev.br/dashboard/processos/1435276/
8,1095121-18.2024.4.01.3400,1434365,0.9854,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0754,https://voyager.was.dev.br/dashboard/processos/1434365/
9,1095137-69.2024.4.01.3400,1437639,0.9851,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0751,https://voyager.was.dev.br/dashboard/processos/1437639/
10,1095122-03.2024.4.01.3400,1436957,0.9851,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0751,https://voyager.was.dev.br/dashboard/processos/1436957/
11,1096955-56.2024.4.01.3400,1438147,0.9848,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0748,https://voyager.was.dev.br/dashboard/processos/1438147/
12,1097399-89.2024.4.01.3400,1436958,0.9843,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0743,https://voyager.was.dev.br/dashboard/processos/1436958/
13,1095125-55.2024.4.01.3400,1161553,0.9841,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0741,https://voyager.was.dev.br/dashboard/processos/1161553/
14,1091466-38.2024.4.01.3400,1162576,0.9620,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0520,https://voyager.was.dev.br/dashboard/processos/1162576/
15,1053918-76.2024.4.01.3400,1253548,0.9492,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0392,https://voyager.was.dev.br/dashboard/processos/1253548/
16,1091464-68.2024.4.01.3400,1786571,0.9466,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0366,https://voyager.was.dev.br/dashboard/processos/1786571/
17,1031068-28.2024.4.01.3400,1172243,0.9444,2024,Cumprimento de Sentença de Ações Coletivas,1.0344,https://voyager.was.dev.br/dashboard/processos/1172243/
18,1000978-76.2025.4.01.3602,1644306,0.9291,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0341,https://voyager.was.dev.br/dashboard/processos/1644306/
19,1115000-45.2023.4.01.3400,1172259,0.9585,2023,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0335,https://voyager.was.dev.br/dashboard/processos/1172259/
20,1006171-78.2025.4.01.3600,1182573,0.9264,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0314,https://voyager.was.dev.br/dashboard/processos/1182573/
21,1000426-25.2023.4.01.4300,207659,0.9532,2023,CUMPRIMENTO DE SENTENÇA,1.0282,https://voyager.was.dev.br/dashboard/processos/207659/
22,1080451-72.2024.4.01.3400,1260422,0.9347,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0247,https://voyager.was.dev.br/dashboard/processos/1260422/
23,1031316-91.2024.4.01.3400,1242844,0.9338,2024,Cumprimento de Sentença de Ações Coletivas,1.0238,https://voyager.was.dev.br/dashboard/processos/1242844/
24,1022897-30.2025.4.01.3600,2321854,0.9187,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,1.0237,https://voyager.was.dev.br/dashboard/processos/2321854/
25,1000035-24.2023.4.01.3507,207356,0.9473,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0223,https://voyager.was.dev.br/dashboard/processos/207356/
26,1009144-06.2025.4.01.3600,1534231,0.9168,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0218,https://voyager.was.dev.br/dashboard/processos/1534231/
27,1001420-42.2025.4.01.3602,1656631,0.9155,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0205,https://voyager.was.dev.br/dashboard/processos/1656631/
28,1009244-58.2025.4.01.3600,1215625,0.9141,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0191,https://voyager.was.dev.br/dashboard/processos/1215625/
29,1047803-91.2024.4.01.3900,1386969,0.9288,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0188,https://voyager.was.dev.br/dashboard/processos/1386969/
30,1039428-24.2025.4.01.3300,1294190,0.9136,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,1.0186,https://voyager.was.dev.br/dashboard/processos/1294190/
