rank,cnj,classificacao,score,classe_codigo,classe_nome,total_movs,ano_cnj
1,0018153-72.2023.8.26.0100,PRECATORIO,0.9104,156,Cumprimento de sentença,490,2023
2,0008292-04.2019.8.26.0100,PRECATORIO,0.9078,156,Cumprimento de sentença,736,2019
3,4000003-58.2017.8.26.0011,PRECATORIO,0.8975,156,Cumprimento de sentença,680,2017
4,0005495-84.2021.8.26.0100,PRECATORIO,0.8838,156,Cumprimento de sentença,370,2021
5,0000273-38.2021.8.26.0100,PRECATORIO,0.8739,156,Cumprimento de sentença,248,2021
6,0062154-84.2019.8.26.0100,PRECATORIO,0.8674,156,Cumprimento de sentença,346,2019
7,0018517-10.2024.8.26.0100,PRECATORIO,0.8557,156,Cumprimento de sentença,141,2024
8,0005231-04.2025.8.26.0011,PRECATORIO,0.8410,156,Cumprimento de sentença,89,2025
9,0006658-41.2022.8.26.0011,PRECATORIO,0.8323,156,Cumprimento de sentença,150,2022
10,0118988-96.2008.8.26.0002,PRECATORIO,0.8118,156,Cumprimento de sentença,750,2008
11,0018084-06.2024.8.26.0100,PRECATORIO,0.8074,156,Cumprimento de sentença,81,2024
12,0012891-78.2022.8.26.0100,PRE_PRECATORIO,0.7659,156,Cumprimento de sentença,754,2022
13,0025065-27.2019.8.26.0100,PRE_PRECATORIO,0.7390,156,Cumprimento de sentença,954,2019
14,0004559-82.2023.8.26.0005,PRE_PRECATORIO,0.7116,156,Cumprimento de sentença,397,2023
15,0016340-85.2025.8.26.0602,PRE_PRECATORIO,0.7037,12078,Cumprimento de Sentença contra a Fazenda Pública,92,2025
16,0003431-54.2022.8.26.0072,PRE_PRECATORIO,0.6937,156,Cumprimento de sentença,348,2022
17,0047148-71.2018.8.26.0100,PRE_PRECATORIO,0.6912,156,Cumprimento de sentença,603,2018
18,0008523-60.2021.8.26.0100,PRE_PRECATORIO,0.6898,156,Cumprimento de sentença,474,2021
19,1021409-68.2021.8.26.0005,PRE_PRECATORIO,0.6873,156,Cumprimento de sentença,447,2021
20,4000001-43.2015.8.26.0566,PRE_PRECATORIO,0.6848,156,Cumprimento de sentença,1110,2015
21,0005352-42.2019.8.26.0011,PRE_PRECATORIO,0.6754,156,Cumprimento de sentença,506,2019
22,0000792-95.2022.8.26.0223,PRE_PRECATORIO,0.6740,156,Cumprimento de sentença,365,2022
23,0049220-60.2020.8.26.0100,PRE_PRECATORIO,0.6708,156,Cumprimento de sentença,384,2020
24,0053266-24.2022.8.26.0100,PRE_PRECATORIO,0.6680,156,Cumprimento de sentença,334,2022
25,0000478-20.2025.8.26.0038,PRE_PRECATORIO,0.6671,156,Cumprimento de sentença,187,2025
26,0000765-81.2021.8.26.0180,PRE_PRECATORIO,0.6641,156,Cumprimento de sentença,346,2021
27,0015678-18.2023.8.26.0562,PRE_PRECATORIO,0.6623,156,Cumprimento de sentença,250,2023
28,0007069-59.2023.8.26.0590,PRE_PRECATORIO,0.6601,156,Cumprimento de sentença,246,2023
29,0025001-80.2020.8.26.0100,PRE_PRECATORIO,0.6599,156,Cumprimento de sentença,373,2020
30,0017327-51.2020.8.26.0100,PRE_PRECATORIO,0.6569,156,Cumprimento de sentença,329,2020
31,0001309-41.2022.8.26.0081,PRE_PRECATORIO,0.6566,156,Cumprimento de sentença,266,2022
32,0045536-30.2020.8.26.0100,PRE_PRECATORIO,0.6546,156,Cumprimento de sentença,376,2020
33,1001016-89.2025.8.26.0100,PRE_PRECATORIO,0.6544,156,Cumprimento de sentença,211,2025
34,0006965-14.2025.8.26.0100,PRE_PRECATORIO,0.6543,156,Cumprimento de sentença,250,2025
35,0001330-22.2020.8.26.0005,PRE_PRECATORIO,0.6541,156,Cumprimento de sentença,390,2020
36,1031011-84.2024.8.26.0100,PRE_PRECATORIO,0.6503,156,Cumprimento de sentença,206,2024
37,0001263-92.2018.8.26.0016,PRE_PRECATORIO,0.6480,156,Cumprimento de sentença,482,2018
38,0074688-60.2019.8.26.0100,PRE_PRECATORIO,0.6433,156,Cumprimento de sentença,385,2019
39,0003086-27.2024.8.26.0005,PRE_PRECATORIO,0.6425,156,Cumprimento de sentença,246,2024
